group;object_id;index;name;req_type;resp_type;unit;description;enum_map
RB485;0x104EB6A;0;rb485.f_grid[2];FLOAT;FLOAT;Hz;Grid phase 3 frequency;
POWER_MNG;0x11F41DB;1;power_mng.schedule[0];STRING;STRING;;;
GRID_MON;0x16109E1;2;grid_mon[0].u_over.time;FLOAT;FLOAT;s;Max. voltage switch-off time level 1;
BATTERY;0x1676FA6;3;battery.cells_stat[3];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
CS_NEG;0x19C0B60;4;cs_neg[2];FLOAT;FLOAT;;Multiply value of the current sensor 2 by;
BATTERY_PLACEHOLDER;0x2247588;5;battery_placeholder[0].cells_stat[2].u_min.value;FLOAT;FLOAT;;;
ENERGY;0x31A6110;6;energy.e_ext_month;FLOAT;FLOAT;Wh;External month energy;
BATTERY_PLACEHOLDER;0x35E64EA;7;battery_placeholder[0].module_sn[5];STRING;STRING;;Module 5 Serial Number;
HW_TEST;0x39BDE11;8;hw_test.state;UINT8;UINT8;;;
G_SYNC;0x3A39CA2;9;g_sync.p_ac_load[0];FLOAT;FLOAT;W;Load household phase 1;
BATTERY;0x3D9C51F;10;battery.cells_stat[0].u_max.value;FLOAT;FLOAT;;;
OTHERS;0x40385DB;11;common_control_bits;UINT32;UINT32;;Bit coded function;
BATTERY_PLACEHOLDER;0x48C9D69;12;battery_placeholder[0].cells_stat[1].u_min.value;FLOAT;FLOAT;;;
NSM;0x4EAAA98;13;nsm.f_low_entry;FLOAT;FLOAT;Hz;Entry frequency for P(f) under-frequency mode;
FRT;0x528D1D8;14;frt.u_min[2];FLOAT;FLOAT;V;Point 3 voltage;
BATTERY;0x56162CA;15;battery.cells_stat[4].u_min.time;UINT32;UINT32;;;
BATTERY;0x56417DF;16;battery.cells_stat[3].t_max.index;UINT8;UINT8;;;
HW_TEST;0x58F1759;17;hw_test.bt_power[6];FLOAT;FLOAT;;;
LOGGER;0x5C7CFB1;18;logger.day_egrid_load_log_ts;INT32;TIMESERIES;;;
BATTERY;0x64A60FE;19;battery.cells_stat[4].t_max.index;UINT8;UINT8;;;
LOGGER;0x64E4340;20;logger.minutes_ubat_log_ts;INT32;TIMESERIES;V;;
BATTERY;0x6A9FFA2;21;battery.charged_amp_hours;FLOAT;FLOAT;Ah;Total charge flow into battery;
WIFI;0x6E03755;22;wifi.ip;STRING;STRING;;IP Address;
BATTERY_PLACEHOLDER;0x71B5514;23;battery_placeholder[0].cells_stat[3].t_max.index;UINT8;UINT8;;;
RB485;0x7367B64;24;rb485.phase_marker;INT16;INT16;;Next phase after phase 1 in Power Switch;
BATTERY_PLACEHOLDER;0x73C7E5D;25;battery_placeholder[0].max_cell_temperature;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x74B1EF5;26;battery_placeholder[0].cells_stat[3].u_max.index;UINT8;UINT8;;;
BATTERY;0x77692DE;27;battery.cells_stat[4].u_max.index;UINT8;UINT8;;;
ADC;0x7C61FAD;28;adc.u_ref_1_5v[0];UINT16;UINT16;V;Reference voltage 1;
NET;0x8679611;29;net.id;UINT32;UINT32;;;
BATTERY;0x86C75B0;30;battery.stack_software_version[3];UINT32;UINT32;;Software version stack 3;
HW_TEST;0x875C906;31;hw_test.bt_time[2];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x8E81725;32;battery_placeholder[0].cells_stat[0].t_max.value;FLOAT;FLOAT;;;
LOGGER;0x95AFAA8;33;logger.minutes_ul3_log_ts;INT32;TIMESERIES;V;;
BATTERY;0x9923C1E;35;battery.cells_stat[3].t_min.index;UINT8;UINT8;;;
G_SYNC;0xA04CA7F;36;g_sync.u_zk_n_avg;FLOAT;FLOAT;V;Negative buffer capacitor voltage;
P_REC;0xAA372CE;37;p_rec_req[1];FLOAT;FLOAT;W;Required battery to grid power;
ACC_CONV;0xAFDD6CF;38;acc_conv.i_acc_lp_fast;FLOAT;FLOAT;A;Battery current;
BATTERY_PLACEHOLDER;0xB94A673;39;battery_placeholder[0].cells_stat[6].t_min.time;UINT32;UINT32;;;
WIFI;0xBA16A10;40;wifi.sockb_protocol;ENUM;ENUM;;Network mode of the unit: 0 = standalone, 1 = master unit, 2 = slave unit;
BATTERY_PLACEHOLDER;0xC2A7286;41;battery_placeholder[0].cells_resist[0];STRING;STRING;;;
NET;0xC3815C2;42;net.load_reduction;FLOAT;FLOAT;;;
ENERGY;0xC588B75;43;energy.e_ext_day_sum;FLOAT;FLOAT;;;
DC_CONV;0xCB5D21B;44;dc_conv.dc_conv_struct[1].p_dc_lp;FLOAT;FLOAT;W;Solar generator B power;
NSM;0xCBA34B9;45;nsm.u_q_u[3];FLOAT;FLOAT;V;High voltage max. point;
OTHERS;0xCC4BDAA;46;detect_phase_shift_enable;BOOL;BOOL;;Enable active island detection;
BATTERY;0xCFA8BC4;47;battery.stack_cycles[1];UINT16;UINT16;;;
OTHERS;0xD658831;48;i_bottom_max;FLOAT;FLOAT;;;
BATTERY;0xDACF21B;49;battery.cells_stat[4];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
BATTERY_PLACEHOLDER;0xDBD5E77;50;battery_placeholder[0].cells_stat[6].u_min.index;UINT8;UINT8;;;
BATTERY;0xDE3D20D;51;battery.status2;INT32;INT32;;Battery extra status;
LOGGER;0xDF164DE;52;logger.day_eb_log_ts;INT32;TIMESERIES;;;
IO_BOARD;0xDF45696;53;io_board.io1_polarity;BOOL;BOOL;;Inverted signal on input I/O 1;
FLASH_RTC;0xE0505B4;54;flash_rtc.time_stamp_set;UINT32;UINT32;;Set date/time;
BATTERY_PLACEHOLDER;0xE4AA301;55;battery_placeholder[0].cells_stat[6].u_max.index;UINT8;UINT8;;;
IO_BOARD;0xE799A56;56;io_board.rse_table[0];FLOAT;FLOAT;;K4..K1: 0000;
BATTERY_PLACEHOLDER;0xEC64BA7;57;battery_placeholder[0].stack_software_version[3];UINT32;UINT32;;Software version stack 3;
BATTERY;0xEF60C7E;58;battery.cells_stat[3].u_max.value;FLOAT;FLOAT;;;
ENERGY;0xF28E2E1;59;energy.e_ext_total_sum;FLOAT;FLOAT;;;
LOGGER;0xFA29566;60;logger.minutes_ub_log_ts;INT32;TIMESERIES;V;Histogram voltage generator B;
IO_BOARD;0xFB40090;61;io_board.check_rs485_result;UINT8;UINT8;;;
BATTERY_PLACEHOLDER;0x1025B491;62;battery_placeholder[0].maximum_discharge_current;FLOAT;FLOAT;A;Max. discharge current;
NSM;0x10842019;63;nsm.cos_phi_p[3][1];FLOAT;FLOAT;cos(rct_db);Point 4 (positive = overexcited);
NSM;0x1089ACA9;64;nsm.u_q_u[0];FLOAT;FLOAT;V;Low voltage min. point;
OTHERS;0x108FC93D;65;max_phase_shift;FLOAT;FLOAT;degrees;Max. phase shift from 120 position;
ENERGY;0x10970E9D;66;energy.e_ac_month;FLOAT;FLOAT;Wh;Month energy;
POWER_MNG;0x1156DFD0;67;power_mng.battery_power;FLOAT;FLOAT;W;Battery discharge power;
BATTERY;0x120EC3B4;68;battery.cells_stat[4].u_min.index;UINT8;UINT8;;;
ENERGY;0x126ABC86;69;energy.e_grid_load_month;FLOAT;FLOAT;Wh;Month energy grid load;
